,day,process,process_id,father,father_id,uid,ocurrences
4173,8,monitoramento-z,29856,monitoramento-z,29854,0,1
4174,8,ps,30043,monitoramento-d,30042,0,1
4175,8,gmain,380,systemd,1,0,1
4176,8,ps,30253,monitoramento-z,30252,0,1
4177,8,EMT,1230,nspr-2,1215,0,1
4178,8,pidof,30413,monitoramento-V,1279,0,1
4179,8,awk,30409,monitoramento-n,30405,0,1
4180,8,ps,30463,monitoramento-z,30462,0,1
4181,8,ps,30682,monitoramento-d,30681,0,1
4182,8,monitoramento-z,1276,bash,1263,0,1
4183,8,pidof,30975,monitoramento-V,1278,0,1
4184,8,monitoramento-c,30985,monitoramento-c,1273,0,1
4185,8,ps,31118,monitoramento-d,31117,0,1
4186,8,awk,31142,monitoramento-c,31140,0,1
4187,8,ps,31205,monitoramento-z,31204,0,1
4188,8,pidof,31366,monitoramento-V,1278,0,1
4189,8,nspr-1,1230,nspr-2,1215,0,1
4190,8,pidof,31698,monitoramento-V,1279,0,1
4191,8,ps,31740,monitoramento-d,31738,0,1
4192,8,grep,31844,monitoramento-m,31841,0,1
4193,8,ps,32141,monitoramento-d,32139,0,1
4194,8,ps,32401,monitoramento-d,32400,0,1
4195,8,wc,32403,monitoramento-d,32400,0,1
4196,8,pidof,316,monitoramento-V,1280,0,1
4197,8,ps,332,monitoramento-z,331,0,1
4198,8,VBoxSVCWatcher,1230,nspr-2,1215,0,1
4199,8,pidof,509,monitoramento-V,1278,0,1
4200,8,"Processo,VBoxHeadless",1230,nspr-2,1215,0,1
4201,8,ps,519,monitoramento-z,516,0,1
4202,8,apt-get,28645,apt.systemd.dai,28463,0,11
4203,8,ps,732,monitoramento-z,731,0,1
4204,8,gmain,380,systemd,1,0,3
4205,8,pidof,877,monitoramento-V,1279,0,1
4206,8,wc,892,monitoramento-z,889,0,1
4207,8,pidof,1060,monitoramento-V,1279,0,1
4208,8,EMT,1230,nspr-2,1215,0,2
4209,8,ps,1072,monitoramento-z,1071,0,1
4210,8,pidof,1293,monitoramento-V,1279,0,1
4211,8,ps,1302,monitoramento-z,1301,0,1
4212,8,cron,1468,cron,1467,0,1
4213,8,ps,1483,monitoramento-z,1482,0,1
4214,8,sleep,1627,monitoramento-m,1275,0,1
4215,8,pidof,1647,monitoramento-V,1278,0,1
4216,8,df,1662,monitoramento-d,1661,0,1
4217,8,ps,1680,monitoramento-d,1679,0,1
4218,8,wpa_supplicant,387,systemd,1,0,1
4219,8,ps,1846,monitoramento-z,1845,0,1
4220,8,cat,1904,monitoramento-V,1900,0,1
4221,8,ps,1870,monitoramento-d,1868,0,1
4222,8,monitoramento-z,1978,monitoramento-z,1276,0,1
4223,8,ps,2056,monitoramento-d,2055,0,1
4224,8,VBoxManage,684,workload.sh,1281,0,1
4225,8,ps,2202,monitoramento-z,2201,0,1
4226,8,nspr-6,1215,systemd,1,0,1
4227,8,pidof,2366,monitoramento-V,1279,0,1
